	WYK3299	WYK3300	WYK3301	WYK3302	WYK3305	WYK3307	WYK3308	WYK3311	WYK3313	WYK3314	WYK3320	WYK3325	WYK3327	WYK3329	WYK3331	WYK3333	WYK3336	WYK3338	WYK3339	WYK3340	WYK3341	WYK3343	WYK3344	WYK3346	WYK3347	WYK3349	WYK3350	WYK3352	WYK3354	WYK3355	WYK3356	WYK3357	WYK3359	WYK3360	WYK3361	WYK3362	WYK3363	WYK3364	WYK3366	WYK3367	WYK3369	WYK3371	WYK3372	WYK3373	WYK3374	WYK3375	WYK3376	WYK3377	WYK3379	WYK3381	WYK3382	WYK3383	WYK3384	WYK3385	WYK3386
MT1X	-1.516807	-2.18798	-0.14895	-2.408946	1.342644	0.243986	-4.292235	-0.334437	-0.640373	0.443271	-0.152974	0.220187	1.020761	0.744879	-0.592459	-0.043507	-0.155191	1.040166	-0.754558	2.288845	2.272598	-0.031161	1.971762	0.530864	-0.000012	-0.106367	0.557795	-0.502088	0.559821	0.016166	0.373612	-0.416875	0.106347	1.188911	0.043327	0.092562	0	-3.745148	-0.148493	-0.170604	1.226021	1.718909	-0.414083	0.160854	2.077972	-0.58568	-0.767731	-0.799378	-2.686513	-0.540203	-0.577988	2.851773	1.025032	0.69864	1.721572
MT2A	-4.397116	-0.618783	-0.165415	-0.472743	0.248492	-0.986368	-1.80544	-2.768418	-1.221852	-2.353177	-0.575344	0.771055	-5.843826	0.390973	0.114573	0.677847	1.043914	0.898518	-0.771259	2.373452	2.481359	0.405422	1.805355	-0.042654	0.688081	-0.182432	0.537537	1.208607	0.446767	-0.403526	0.863128	-0.302436	0.139932	0.703595	-1.817442	1.174205	-0.030096	-1.678616	-0.934736	-0.701646	0.935036	0.821751	-1.152642	-0.061658	1.371057	-0.677179	-0.509102	-0.856008	0	-0.271755	0.889114	1.885294	0.546617	0.233352	0.255016
PRRX1	-2.648094	0.160011	-0.077454	0.44887	0.308365	0.007653	-1.034167	0.382551	2.486	-1.933795	-1.794151	0.346122	1.094068	1.61469	-0.176379	0.203332	-1.385341	-0.24615	0.309284	-0.229552	0.351743	2.375267	0.524966	-0.850328	1.082764	1.453027	0.223631	-0.732166	1.209726	0.132662	0.02235	-0.881396	-1.419992	1.476872	-2.401738	-1.137372	-0.051027	-1.089708	-3.550573	0	-0.42044	0.631042	-0.183773	-0.096136	-1.540175	-0.155208	-0.446621	-0.620378	0.414829	-0.114637	1.232474	0.0978	-0.4697	0.54125	1.499232
PPARG	3.487955	1.771699	0.123988	0.183745	1.064775	2.463781	0	-1.352597	0.184316	-1.398965	-2.011197	0.476267	-5.393786	1.546914	-1.35018	1.097988	-0.517944	2.618869	1.608468	0.675562	-1.199504	-2.729503	1.370404	-0.031501	-1.2436	1.049279	-0.039081	-1.014564	-0.872336	3.851929	0.972892	2.077022	-0.80526	-0.60568	-3.636381	-3.620429	1.655418	2.223275	2.340453	-4.446258	-0.026899	-0.264156	1.671886	-0.668942	-0.748031	0.921063	1.988725	2.803357	-1.075	1.909312	-0.088372	-1.139289	-1.159734	2.391664	-1.754378
SCNN1B	-1.789432	0.610135	-2.045859	-4.048203	-1.473273	4.166158	-0.354286	3.260321	-2.522883	0.710855	-0.067409	-2.846669	-3.177706	0.569665	2.345392	-0.812055	-3.585573	0.112571	2.146106	0.000712	-2.032559	-0.765246	-2.860981	-0.267348	-1.309268	1.761513	-1.665516	-0.55678	-2.079432	3.031065	1.336893	1.20476	1.940553	-1.526292	3.03737	-1.177928	2.913067	2.907569	1.977935	-1.818839	0.674901	-0.501809	2.426633	0	0.461898	0.55953	2.230472	3.443076	-1.29112	0.576238	-0.806179	1.599852	0.114047	-0.351227	-1.374889
SCNN1G	-1.87923	-2.508319	-1.493762	-1.739011	0.792429	4.693937	0.976836	0.048128	-2.343747	-1.800184	-1.568959	-2.720737	0.235754	0.107059	3.153832	-1.646886	-1.170393	1.277044	0.418879	-2.115555	-2.344748	-3.192445	-3.113048	-0.498958	-0.030419	1.183888	-2.677312	-0.109708	-1.621273	3.273272	-0.503675	3.31995	1.156087	-0.45922	1.848038	1.806623	2.047029	1.876895	3.088932	-1.484139	2.506385	-3.361481	2.949512	0	-0.369402	-0.23707	0.682427	3.402516	-1.901112	0.520073	-1.14057	2.523367	0.753603	1.220961	1.027168
SLC9A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPINK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX2	0.074406	-1.218255	0.434928	0.11554	1.020617	3.090689	2.175269	-0.59142	-1.001635	-1.783139	-1.827597	-0.878134	2.277139	0.514306	3.878854	-0.961462	-2.001522	0.868265	0.923883	1.022503	-0.49397	1.444204	-1.081905	1.007687	-0.116324	1.107169	-0.737934	-0.337716	-0.246898	1.258807	1.099411	-0.074238	-1.819016	-0.22805	-2.450614	-0.415067	-0.012127	-0.401026	1.005748	0.011245	0.113896	-0.486461	0.62936	-0.297389	-3.38995	0.676138	1.625983	2.344632	0	0.779224	1.190859	-2.35136	-0.448187	-0.060763	2.688325
TMPRSS2	3.204363	-0.073721	-4.156159	0.095209	-2.618344	1.951432	-0.756714	-3.199796	-4.469402	-1.536851	0.523134	-3.33123	0.080543	0	2.501974	0.287378	-2.691121	2.098052	2.815129	2.139022	-3.177632	-0.880376	-4.753282	-4.159653	-1.702838	3.471971	0.709484	1.020255	-1.619434	3.156818	2.039817	0.41425	-2.316025	-3.266102	-4.251621	-1.408732	1.325268	3.470798	2.697029	-0.275201	2.048442	-2.194371	-0.134597	-0.990426	0.751545	0.429616	1.93471	2.727595	-0.821483	1.300677	-0.21261	-2.256713	0.577645	1.01221	-0.905251
UPK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPFIBP2	1.484523	-4.914128	-0.309553	0	-0.928236	1.522098	1.750172	0.998111	-0.990093	-0.051069	-1.019389	0.238026	-6.491979	-0.276723	0.464164	-0.742419	-1.211871	0.751506	0.610592	0.2156	-0.858165	-0.878681	-0.983694	-0.414262	-0.213532	0.66276	-1.176227	0.859228	-0.543819	2.387556	0.236194	-1.416472	-0.814448	0.366517	0.252259	0.281379	0.410077	0.776561	1.47712	-0.045489	1.034163	-0.35139	0.534452	-0.475234	-0.639773	0.699794	2.078392	1.574323	-1.162624	1.28773	-0.787295	-1.223198	0.181729	0.175221	-1.164515
SEMA5A	-2.230475	-4.385631	-0.5106	0.698935	-0.803552	1.538277	0.241433	-2.266944	1.98715	-2.215807	0.457333	0	-0.682314	1.095835	1.604605	1.299361	0.451736	1.789475	1.293383	-1.905409	-1.155973	-1.53249	-1.125294	-0.429298	0.240817	0.533541	-1.449405	-0.804923	-1.213654	2.396729	1.21434	0.559045	-1.925498	-0.656414	1.240184	-1.120965	0.061286	1.390827	1.394412	-2.149707	-0.780523	-0.894846	0.403319	-0.018476	-2.207494	1.009201	0.403416	1.512593	-2.709794	0.836857	0.091903	-2.276561	-1.326204	1.226065	-0.326584
ADIRF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC27A2	0.236853	-2.716261	-0.913842	0.082179	-3.434901	0.61549	0.611838	2.180036	-2.285979	1.983938	2.013318	0.305375	2.197738	2.063989	1.01638	1.315655	2.217043	1.707907	0.575656	-1.613009	-2.382766	-0.867277	0	-0.151794	-1.123478	1.068507	-2.667793	-0.046855	1.562141	1.545169	0.012683	-0.902392	-4.454508	-1.153065	0.916693	-2.295685	1.02479	1.895367	-0.504733	-0.577197	1.022509	-4.389428	-1.737759	-1.96311	-1.463216	-1.068936	0.052339	1.122605	-0.227378	0.65339	-1.649766	-1.57078	-0.229271	1.886066	-1.79221
GLIPR1	-2.75727	-0.512571	-0.377358	0.726885	0.316454	-0.468143	-2.50709	0.108446	0.719533	-1.052976	-2.295258	0.263687	-4.918243	-0.931678	-2.434679	0.432542	0.800433	0.629265	0.538884	-1.321268	0.060399	-4.374255	0.133231	-0.486417	0	0.856255	0.620118	0.310947	-2.416338	-0.549956	0.198448	-1.439508	0.317074	-0.164247	-2.620503	-2.382257	0.430344	-0.968542	-1.790446	-1.58605	0.384318	0.073666	0.691204	0.223064	0.012014	0.673176	-0.34633	0.214431	-0.213458	0.101744	-0.486137	0.025987	-1.792264	0.490601	-3.106476
UPK1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRAK1	0.847054	-2.055881	-0.179767	0.313443	-0.095753	1.005375	-0.020553	-0.487911	-0.130786	-0.69485	-0.654836	-0.034893	-0.3572	0.679461	-0.28254	-0.395055	-0.626164	1.251814	0.833034	0.753911	0.062914	-0.521283	0.066653	-0.320016	-0.443794	0.053855	-0.274431	-0.039152	-0.804804	1.309933	1.016448	0.222477	-0.886546	0.308958	-1.378161	0.603857	0.560013	1.345705	0.535592	-0.336875	0.378438	0	0.595906	0.118504	-0.636295	0.704311	1.210689	0.828053	-0.263131	0.400302	-0.157018	-0.747589	0.786334	0.234147	-0.213353
PALLD	-3.291973	-0.520244	-0.179279	-0.2953	1.474773	0.883529	-1.952953	0.116541	0.147541	-2.04836	-1.649968	0.130597	-0.39342	0.145345	-0.616755	-0.954372	-0.697441	0.637682	0.586	0.186729	0.141992	-0.034465	-0.630917	0.498103	0.103637	0.346752	0.162638	-0.444734	-0.842509	0.628006	1.097401	-0.098113	-1.133264	0.816926	-1.472965	-0.437418	0.569689	-1.569148	-0.527391	-0.126779	0.822612	0.703453	0.843641	1.417526	-0.496833	1.548964	-0.011056	0.330925	-0.540571	0.394337	0.947155	-0.141623	-1.239916	0	0.568899
GPD1L	2.326673	-1.740203	-0.583657	0.076116	1.24468	1.057036	0.148474	-3.912686	-0.415442	0.563417	-1.689081	-0.587033	-2.881029	-0.881769	1.223554	-1.522105	-1.205134	0.591865	1.212662	0.586595	-1.246668	-2.815661	-0.799069	0.678201	-0.970171	0.929005	-0.803901	-0.225244	-0.085648	0.186647	0.552749	0.148817	-2.888142	0.037013	-0.313473	-0.321647	0.818258	2.149985	1.385	-0.510046	1.584584	-0.437776	1.398788	0.632417	-0.913758	1.212483	0	0.2364	-0.912888	0.850276	-0.621276	-1.764058	0.464167	0.549053	-0.059176
TOX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM97	3.884581	0.155924	-2.252087	-0.181179	-0.729512	2.065293	-6.424999	0.822467	0.22932	1.962369	1.086557	-0.88639	-4.050601	-0.474596	-1.765084	0.040275	-0.228857	2.039485	1.037362	-0.664948	-1.2474	-2.46878	0.130314	-1.121274	-1.232812	0.263631	-0.864615	-0.372719	-1.548695	1.861103	0.165954	1.986504	0.703308	-0.302089	-1.731532	-2.177704	1.943793	0.868143	3.737122	0.722773	1.958765	-1.404625	1.492755	0.088084	0	0.501235	0.693688	1.847556	-1.819277	-0.290279	-0.589924	-0.175084	0.17951	-0.046265	-2.581116
CHST15	-3.271394	-0.148016	0.778382	0.172589	1.0078	-0.48218	-0.904871	1.107174	-0.490107	-1.735096	-2.624697	1.243672	-1.682479	0.589924	0.936632	-0.62626	-0.313496	-0.182848	0.121082	0.319846	1.030618	1.416743	0.092099	0.040399	0.81355	0.448452	1.699561	0.537876	0	-0.467846	0.187507	-1.841025	-1.607829	1.079592	-1.674017	0.113602	-0.009527	-1.460878	-0.273943	-0.167906	-0.497041	0.617273	1.376586	-0.19627	0.260252	-0.5685	-0.911282	-0.413138	-0.153473	-0.331047	1.0027	1.054825	-0.256553	0.216367	0.704544
VGLL1	-0.485826	1.041114	-0.575064	-2.916418	-2.571974	1.747575	0.497976	0.006672	-3.702493	-1.209933	-7.298685	1.950525	-1.712593	2.452627	2.998442	2.726997	-3.556606	0.646624	-0.460204	0.936097	-4.293083	-3.218229	-1.824357	0.082435	-0.233338	0.916766	2.065996	-1.240258	0.71159	2.77506	2.146748	2.576322	-5.267999	-2.381571	3.360826	-0.08362	1.009991	3.143216	0.791251	0.155252	1.154771	-2.617955	0.422777	-0.596873	-5.306425	-0.65108	0.622659	2.779623	-0.31134	0	-0.516222	-2.880992	-0.58706	1.71713	-0.127629
PLEKHG6	-1.297273	0.788579	-2.556901	-0.371614	-1.533652	0.939401	0.101672	0.7214	-3.529112	-0.832889	-1.760966	-0.66485	0.574157	2.980356	3.007526	0.16292	-3.886275	-0.015024	-0.827939	2.419499	-0.817554	1.027011	0.555634	-0.057888	0.602696	-0.090973	1.089072	-2.351503	-0.528378	1.602362	1.453038	1.376625	-0.66018	-0.666843	3.927577	2.512463	-2.11079	1.658674	1.424679	-0.689741	1.728143	-0.793045	0	-2.217128	-1.92874	-0.289142	1.614394	-0.300066	0.311465	0.727843	-0.970896	-1.316412	1.449595	0.258686	2.587099
PDGFC	-2.514667	0.179684	0.972165	-1.431234	0.292049	0.335903	-4.858144	-2.745363	0.065195	-0.452854	-4.899895	0.29221	-1.04784	0	-1.158368	0.280223	-0.642531	0.231612	0.105519	-0.938895	-0.410808	-1.819462	0.368522	-0.586841	1.156969	1.171605	1.554933	0.089047	-0.496414	0.409867	0.411774	-0.170988	-1.903988	1.848883	-1.857467	-6.102701	0.230973	-1.510825	0.029944	0.388378	-0.065484	0.753848	-0.835119	0.299034	-0.219607	0.46467	-0.880207	-0.310216	0.415281	0.702577	-0.827423	0.224736	-1.153102	0.243709	-1.511762
GAREM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDPD3	-1.3068	-6.747361	0.30804	1.119317	-0.836656	1.286904	-2.207759	-0.153143	-0.813689	0.179609	-1.079588	-0.061935	-1.039215	-1.077535	2.426565	0.08231	-1.851404	0.3411	1.588349	-0.310205	-1.369908	0.51898	-1.195105	2.511004	-2.602032	0.761486	0	-0.952945	-1.331456	2.200722	2.811498	1.323448	-1.289227	0.87518	1.3825	1.039535	1.824229	1.46938	0.294438	-1.596324	1.474953	-1.591884	1.105609	-0.132681	-0.087352	-0.382021	0.291321	1.800957	-0.110184	0.568988	1.045355	-2.644951	0.672991	-0.834979	-1.778915
RNF128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBB6	-6.10274	-1.274693	0.13189	0.066822	1.357211	0.17217	-3.843825	-1.465436	-1.289712	-3.861996	-2.348773	-0.015428	-0.127961	0.718006	-0.130365	-1.660017	-0.949987	-0.062054	0.379792	1.577347	2.153139	0.45915	1.585411	-0.67151	1.175317	-0.199825	0.734201	0.671348	0.453732	-0.421865	0.819743	-1.108722	-0.956387	-0.157261	-0.18462	-0.119373	-0.200239	-2.585167	-0.122328	0.380557	0.012634	0.865217	-0.37692	0.515493	0.730652	0.607948	1.078827	-0.53979	0.577291	0.295985	1.099043	0.845727	-0.25928	0	0.956514
PRKCDBP	-1.655186	-0.963123	0.394639	1.486815	1.134092	0.075973	2.749204	2.520935	-1.433187	-2.940265	-2.632419	-1.002824	1.953675	2.03143	0.324858	-1.598257	-0.89034	-1.693527	-0.919468	0.754368	-0.404434	3.417661	-0.880557	-2.608849	0.184998	-1.06082	0.377644	0.725571	2.008123	0.123916	1.321161	-1.664299	-1.708637	0.384232	1.469097	1.504643	-1.110339	-3.316567	-0.272879	0.60575	-1.015458	0.115424	-1.370399	-0.052596	-1.31824	-0.15474	1.190893	-0.026596	0.600037	0	0.98064	-4.02788	1.523991	-2.092339	5.047651
AHNAK2	-4.47401	-1.640348	0.147347	-0.3933	0.357432	0	-2.560105	0.019885	-2.189499	-0.973964	-3.107717	-1.070984	0.116938	-0.138022	0.680225	-1.223714	-2.013001	-1.296123	-0.675144	1.750874	0.39655	2.203514	2.511133	0.391569	-0.478215	-0.63484	0.770433	0.816901	2.068873	-0.353997	0.68406	0.868179	-2.821815	0.68354	-3.226263	-1.429751	0.476927	-3.818546	-1.43737	0.936985	-1.132692	0.148051	-0.853706	0.804108	1.29362	0.677065	-0.418835	-0.573024	0.057438	-0.184021	0.444698	0.982244	1.115932	-0.609111	1.910339
RAB15	3.062883	-0.726517	-2.201863	-1.183685	-0.909151	0.225428	1.669282	1.262307	0.000596	-2.307926	0.847918	-0.511852	-0.835467	0.995648	-1.686677	0	-1.372618	1.479096	0.018955	-0.534703	-1.608616	-0.290481	-1.105496	-3.035421	-0.282214	1.137094	-0.589495	-0.096141	-0.462844	1.78951	1.998126	1.750427	0.486275	0.787734	0.145617	0.995609	1.287516	1.053431	0.445982	-0.110328	-0.476802	-0.215989	-0.975931	-7.151594	-0.000649	-1.090987	0.76432	0.617218	-0.148265	0.578648	-0.387037	0.15045	0.047493	2.072051	0.634017
FAM174B	2.460096	-5.328058	-0.098629	-0.743416	-0.084778	0.964577	1.270439	-0.43009	-0.304488	-0.905523	1.204437	-0.670113	1.763381	0.8012	-1.228849	0.183755	-1.308112	1.412146	0.286788	1.064704	-2.579522	-1.56594	-1.248291	-3.976583	-1.597771	1.715636	-0.020462	-0.83481	-1.151365	1.796925	2.52545	-1.862113	-2.606892	0.60146	1.5164	-2.033013	2.205623	1.856785	0.326224	-0.899485	0.467658	-1.463814	0.069232	0	-2.685974	0.869844	2.037478	0.426697	1.967014	0.608553	-1.92766	-3.073649	2.072928	1.148738	-2.529538
